src_ip,dst_ip,port,bytes
10.0.0.145,198.51.100.50,3389,938
10.0.0.106,203.0.113.10,3389,1074
10.0.0.218,198.51.100.50,22,1148
10.0.0.138,1.1.1.1,443,4042
10.0.0.110,192.0.2.10,25,643
10.0.0.186,192.0.2.100,3389,835
10.0.0.86,192.168.240.226,443,175
10.0.0.173,203.0.113.30,587,4625
10.0.0.186,192.0.2.10,53,3565
10.0.0.58,9.9.9.9,80,825
10.0.0.238,198.51.100.20,443,876
10.0.0.250,192.0.2.10,110,2534
10.0.0.243,1.1.1.1,80,267
10.0.0.34,9.9.9.9,53,646
10.0.0.139,192.0.2.10,443,2923
10.0.0.156,9.9.9.9,53,948
10.0.0.25,203.0.113.30,25,2466
10.0.0.59,8.8.8.8,443,4756
10.0.0.26,203.0.113.30,25,3102
10.0.0.20,8.8.8.8,80,2719
10.0.0.60,203.0.113.30,53,3755
10.0.0.36,192.0.2.10,80,611
10.0.0.147,203.0.113.238,25,195
10.0.0.105,8.8.8.8,110,2216
10.0.0.108,198.51.100.20,587,448
10.0.0.107,203.0.113.136,8080,208
10.0.0.175,192.0.2.10,25,1824
10.0.0.210,198.51.100.20,25,2275
10.0.0.225,198.51.100.20,53,760
10.0.0.146,203.0.113.200,8080,20359
10.0.0.221,198.51.100.20,25,4107
10.0.0.195,198.51.100.20,53,868
10.0.0.36,192.0.2.10,25,3239
10.0.0.99,9.9.9.9,587,4762
10.0.0.192,198.51.100.20,110,2352
10.0.0.18,9.9.9.9,25,4121
10.0.0.235,192.0.2.10,53,1380
10.0.0.63,192.0.2.200,22,10569
10.0.0.84,1.1.1.1,53,2484
10.0.0.56,198.51.100.20,443,4223
10.0.0.68,9.9.9.9,80,164
10.0.0.173,203.0.113.30,25,3176
10.0.0.149,9.9.9.9,587,2618
10.0.0.87,8.8.8.8,110,1358
10.0.0.218,198.51.100.50,22,822
10.0.0.143,198.51.100.200,443,11124
10.0.0.68,9.9.9.9,80,225
10.0.0.152,1.1.1.1,53,781
10.0.0.60,198.51.100.200,8080,22150
10.0.0.234,192.0.2.10,443,3712
10.0.0.98,192.0.2.10,25,2992
10.0.0.179,192.0.2.10,443,3480
10.0.0.144,192.168.12.10,443,442
10.0.0.40,8.8.8.8,25,1047
10.0.0.206,8.8.8.8,80,1769
10.0.0.190,9.9.9.9,25,2232
10.0.0.194,9.9.9.9,587,2986
10.0.0.63,192.0.2.200,22,22322
10.0.0.249,9.9.9.9,110,2759
10.0.0.15,1.1.1.1,110,3163
10.0.0.166,192.0.2.246,8080,97
10.0.0.44,192.0.2.10,25,4143
10.0.0.143,198.51.100.200,443,18855
10.0.0.20,198.51.100.20,80,4344
10.0.0.226,9.9.9.9,110,4310
10.0.0.154,203.0.113.30,110,2564
10.0.0.165,192.0.2.10,53,300
10.0.0.144,192.168.36.183,443,323
10.0.0.86,192.168.123.167,80,232
10.0.0.180,9.9.9.9,110,1242
10.0.0.146,203.0.113.200,8080,11063
10.0.0.248,203.0.113.139,110,111
10.0.0.113,203.0.113.30,110,2398
10.0.0.204,8.8.8.8,53,2610
10.0.0.14,198.51.100.20,80,1194
10.0.0.238,192.0.2.230,80,410
10.0.0.56,198.51.100.20,80,4877
10.0.0.4,192.0.2.56,8080,237
10.0.0.197,192.0.2.64,23,398
10.0.0.121,9.9.9.9,80,269
10.0.0.128,192.168.35.226,443,399
10.0.0.72,203.0.113.30,110,4497
10.0.0.164,192.0.2.10,587,2675
10.0.0.121,9.9.9.9,80,84
10.0.0.40,203.0.113.200,443,16759
10.0.0.206,9.9.9.9,443,2490
10.0.0.197,192.0.2.64,21,326
10.0.0.147,203.0.113.238,3389,198
10.0.0.61,203.0.113.200,22,8970
10.0.0.244,192.0.2.100,21,779
10.0.0.247,198.51.100.20,53,1722
10.0.0.24,9.9.9.9,443,2848
10.0.0.175,192.168.102.210,443,367
10.0.0.223,8.8.8.8,443,3599
10.0.0.175,192.168.237.114,80,291
10.0.0.243,1.1.1.1,80,264
10.0.0.76,8.8.8.8,25,370
10.0.0.230,198.51.100.20,53,1333
10.0.0.106,203.0.113.10,3389,846
10.0.0.75,192.0.2.10,587,1336
10.0.0.122,9.9.9.9,443,3456
10.0.0.159,198.51.100.20,53,4317
10.0.0.81,1.1.1.1,80,2999
10.0.0.144,192.168.241.94,80,247
10.0.0.76,8.8.8.8,80,2560
10.0.0.175,192.168.21.89,80,106
10.0.0.182,203.0.113.235,80,216
10.0.0.60,198.51.100.200,8080,17678
10.0.0.60,198.51.100.200,8080,20454
10.0.0.18,8.8.8.8,25,4591
10.0.0.184,9.9.9.9,25,3259
10.0.0.36,8.8.8.8,443,4672
10.0.0.171,9.9.9.9,110,1273
10.0.0.60,198.51.100.200,8080,27197
10.0.0.109,1.1.1.1,80,1333
10.0.0.110,1.1.1.1,443,3989
10.0.0.65,8.8.8.8,110,3609
10.0.0.217,203.0.113.30,110,1829
10.0.0.238,192.0.2.230,25,312
10.0.0.110,8.8.8.8,443,2146
10.0.0.117,192.168.41.209,80,378
10.0.0.235,8.8.8.8,53,4444
10.0.0.231,192.0.2.200,443,14927
10.0.0.161,192.0.2.10,587,3821
10.0.0.204,192.0.2.10,53,2366
10.0.0.188,192.0.2.10,53,3727
10.0.0.174,203.0.113.30,587,2347
10.0.0.132,1.1.1.1,443,3076
10.0.0.40,203.0.113.200,443,10589
10.0.0.144,192.168.129.11,443,339
10.0.0.161,9.9.9.9,587,1220
10.0.0.4,192.0.2.56,8080,243
10.0.0.132,203.0.113.30,443,3603
10.0.0.143,198.51.100.200,443,13615
10.0.0.231,192.0.2.200,443,15528
